geneID	geneName
RGD:1587365	Efhc1
RGD:1560168	Dis3l2
RGD:3130	Myc
RGD:2081	Akt1
RGD:621802	Camk2g
RGD:68337	Htt
RGD:1561797	Cks1b
RGD:1311492	Hinfp
RGD:1311472	Spry2
RGD:1561749	Dscc1
RGD:1561742	Stk24
RGD:1561740	Kif18a
RGD:2323	Cdkn2a
RGD:2324	Cdkn2b
RGD:1306781	Chmp2b
RGD:61819	Pdpn
RGD:628595	Tubb3
RGD:2364	Cltc
RGD:2319209	Ctdsp2
RGD:6490353	Seh1l
RGD:1306748	Tal1
RGD:6497075	LOC100910732
RGD:1306728	Tom1l2
RGD:1306721	Rtel1
RGD:1306714	Wdr62
RGD:735207	Acvr1b
RGD:68412	Stk3
RGD:2299	Cd28
RGD:2295	Ccng1
RGD:2294	Ccne1
RGD:2293	Ccnd3
RGD:2291	Ccnb1
RGD:1308190	Cul3
RGD:2262	Camk2b
RGD:2261	Camk2a
RGD:2259	Calm3
RGD:2258	Calm2
RGD:2257	Calm1
RGD:1563106	Ctc1
RGD:1308158	Nabp2
RGD:2226	Btg3
RGD:1308145	Phf13
RGD:2219	Brca2
RGD:2218	Brca1
RGD:2213	Bmp4
RGD:1308127	Cacul1
RGD:2200	Bcl2l1
RGD:1308121	Zfp207
RGD:1310817	Gpr132
RGD:2123	Apc
RGD:1311634	Anapc15
RGD:1311631	Ckap2
RGD:1306973	Btn2a2
RGD:620617	Hmga2
RGD:1311617	Khdc3
RGD:2162	Asns
RGD:1306940	Mybl1
RGD:1306939	Ripor2
RGD:1306924	Tubgcp4
RGD:1306920	Jade1
RGD:1306908	Spdl1
RGD:1588700	Prdm5
RGD:1306572	Anapc4
RGD:2542	Egf
RGD:2543	Egfr
RGD:1306561	Reep4
RGD:1307783	Ccne2
RGD:6500127	LOC100910107
RGD:61807	Foxm1
RGD:619977	Hdac3
RGD:619963	Stambp
RGD:619945	Nae1
RGD:1311192	Map3k4
RGD:1561464	Atad5
RGD:2606	Fgf10
RGD:1311163	Cdc14b
RGD:2611	Fgfr2
RGD:2615	Fhl1
RGD:2654	Gadd45a
RGD:1309013	Son
RGD:1593284	Hspa1a
RGD:619745	Cdh13
RGD:619721	Rgcc
RGD:619714	Rpa2
RGD:2802	Hmgb1
RGD:708455	Taok1
RGD:2810	Hnf4a
RGD:708421	Brinp3
RGD:1306273	Fer
RGD:2840	Hspa1b
RGD:1561201	Foxo4
RGD:1561200	Ankrd53
RGD:708419	Brinp2
RGD:1306266	Espl1
RGD:1591976	Hus1
RGD:71054	Arpp19
RGD:71043	Cdc42
RGD:1306213	Pak6
RGD:71010	Ascl1
RGD:1584164	Mcidas
RGD:71008	Gpnmb
RGD:71000	Myh10
RGD:728892	E2f1
RGD:1309293	Spry1
RGD:708378	Senp2
RGD:708356	Ppp2r2d
RGD:61890	Map2k5
RGD:1307386	Gem
RGD:2199	Bcl2
RGD:1308091	E2f8
RGD:2139	App
RGD:2126	Apex1
RGD:2118	Anxa1
RGD:1561880	Anapc11
RGD:1311598	Sin3a
RGD:1311574	Terf1
RGD:2319357	Nfatc1
RGD:1310970	Clasp1
RGD:1311540	Rae1
RGD:1561817	Tnik
RGD:1311520	Cep85
RGD:2263	Camk2d
RGD:1593265	Atm
RGD:1593244	Hecw2
RGD:1593238	Sgo1
RGD:1561367	Anln
RGD:1311083	Chmp1a
RGD:1311072	Rtfdc1
RGD:2713	Gnai1
RGD:1311055	Gins2
RGD:1306393	Nipbl
RGD:708538	Slc9a3r1
RGD:1311043	Sbds
RGD:1311030	Tmod3
RGD:708519	Brinp1
RGD:1306360	Chfr
RGD:1311010	Cradd
RGD:1562456	Skp2
RGD:1589604	Ranbp3
RGD:619795	Atrx
RGD:619792	Nek2
RGD:619791	Bub1b
RGD:61924	Aif1
RGD:619789	Clasp2
RGD:619762	Rab11a
RGD:1588883	Cdk2ap2
RGD:1593500	Chmp1b
RGD:1311379	Insc
RGD:1311363	Ptpn3
RGD:1306693	Bach1
RGD:1311342	Cdc26
RGD:1306680	Smc4
RGD:1306658	Nabp1
RGD:1306646	Klf11
RGD:1306620	Map2k3
RGD:61991	Smc1a
RGD:735118	Lcmt1
RGD:1562173	Zpr1
RGD:1593465	Cenpw
RGD:1561576	Zfyve19
RGD:1311283	Champ1
RGD:2505	Dlg1
RGD:2520	Drd2
RGD:2521	Drd3
RGD:2532	Edn1
RGD:2534	Edn3
RGD:2942	Jtb
RGD:1306144	Eif4g1
RGD:2322129	E2f4
RGD:1562626	Tom1l1
RGD:1304995	Nek4
RGD:1304988	Wnt10b
RGD:1304979	Usp8
RGD:1304977	Nup214
RGD:1304972	Stil
RGD:1304965	Rhoc
RGD:1304924	Eme2
RGD:1304921	Cdc27
RGD:1561069	Fbxo31
RGD:1561065	Phf8
RGD:1306073	Obsl1
RGD:1310530	Azi2
RGD:1310521	Ranbp1
RGD:3250	Pak1
RGD:3251	Pak3
RGD:1305814	Tfdp2
RGD:1305813	Fbxl7
RGD:708451	Cdk5rap2
RGD:2321863	Fanci
RGD:1308494	Spast
RGD:1306849	Xrcc3
RGD:1306823	Donson
RGD:1306815	Kif3b
RGD:1306810	Rpa3
RGD:1306803	Mta3
RGD:3395	Prkca
RGD:3382	Ppp3ca
RGD:1309292	Nacc2
RGD:3330	Pim1
RGD:1309249	Gadd45gip1
RGD:1309247	Tjp3
RGD:1309226	Cts7
RGD:1309211	Cdt1
RGD:69328	Cdkn1a
RGD:69327	Arl3
RGD:620685	Aatf
RGD:620683	Rps6kb1
RGD:620666	Map2k6
RGD:620664	Hspa2
RGD:620660	Ptpn6
RGD:1306288	Klhl22
RGD:3285	Pdgfrb
RGD:3283	Pdgfb
RGD:1309197	Zw10
RGD:3269	Pcna
RGD:1309186	Mastl
RGD:3258	Pax6
RGD:1309175	Mad2l1bp
RGD:1559449	Stradb
RGD:1309158	Zfp655
RGD:1309157	Cdc6
RGD:3942	Unc119
RGD:1304867	Psmg2
RGD:1304857	Slf1
RGD:1304851	Cdk10
RGD:1304841	Ctdspl
RGD:1304823	Kdm8
RGD:1304819	Cdc23
RGD:1304818	Heca
RGD:1588134	Ppp2r3b
RGD:1598310	Rrm2
RGD:69407	Sik1
RGD:620002	Cdk5rap3
RGD:69418	Ubd
RGD:1566388	Trim71
RGD:1586820	Gas1
RGD:1304689	Tubgcp5
RGD:1304659	Arhgef2
RGD:1566306	Cdca8
RGD:1304637	Oraov1
RGD:1302948	Tacc3
RGD:727892	Cdkn1c
RGD:1304593	Ints3
RGD:1566256	Brsk2
RGD:1304575	Map3k3
RGD:1596918	Rhou
RGD:1566163	Nrk
RGD:1596881	Mad1l1
RGD:1564964	Phip
RGD:1559690	Ddias
RGD:3780	Slk
RGD:1566025	Pinx1
RGD:1596799	Ncaph
RGD:70878	Cit
RGD:1596731	E4f1
RGD:1564837	Mis12
RGD:1309891	Brd7
RGD:1564823	Xrcc2
RGD:1309884	Cep57
RGD:1309846	Chmp4b
RGD:2320289	Kank2
RGD:1564771	Ddx3x
RGD:1564749	Bex4
RGD:1564746	Ube2s
RGD:3889	Tp53
RGD:3876	Tnf
RGD:3849	Tgfa
RGD:1549755	Dynlt3
RGD:2320148	Tbcd
RGD:3216	Nup153
RGD:1309134	Bbs4
RGD:69285	Cfl1
RGD:69274	Casp2
RGD:69263	Mre11a
RGD:1309109	Ercc2
RGD:1562949	Topbp1
RGD:1307987	Pnpt1
RGD:620545	Chek1
